Identifiant arc,Date et heure de comptage,Débit horaire,Taux d'occupation
191,2020-11-02T09:00:00,631.0,10.12334
191,2020-12-01T11:00:00,675.0,8.29278
191,2020-07-01T06:00:00,86.0,1.07167
191,2020-11-02T10:00:00,574.0,8.32278
191,2020-10-01T16:00:00,,
191,2020-08-12T13:00:00,,
191,2020-07-01T16:00:00,625.0,7.71334
191,2020-11-02T20:00:00,403.0,4.44445
191,2020-12-01T14:00:00,692.0,7.98111
191,2020-11-02T21:00:00,290.0,3.0672200000000003
191,2020-12-01T15:00:00,679.0,9.27833
191,2020-12-01T21:00:00,386.0,3.86222
191,2020-11-02T05:00:00,32.0,0.48222
191,2020-11-02T03:00:00,18.0,0.31444
191,2020-07-01T17:00:00,713.0,9.88556
191,2020-07-01T12:00:00,744.0,13.67167
191,2020-07-01T07:00:00,198.0,1.98167
191,2020-10-01T07:00:00,239.0,2.76167
191,2020-12-01T09:00:00,594.0,9.97833
191,2020-10-01T19:00:00,1102.0,14.35167
191,2020-07-01T14:00:00,799.0,12.58945
191,2020-12-01T12:00:00,630.0,8.88556
191,2020-10-01T08:00:00,463.0,5.98111
191,2020-07-01T15:00:00,746.0,10.27667
191,2020-11-01T05:00:00,17.0,0.29556
191,2020-12-01T16:00:00,659.0,8.93167
191,2020-10-01T18:00:00,934.0,22.34444
191,2020-12-01T06:00:00,62.0,0.79889
191,2020-09-22T15:00:00,842.0,10.69666
191,2020-09-22T12:00:00,733.0,25.172220000000006
191,2020-07-01T20:00:00,922.0,9.82556
191,2020-11-01T14:00:00,250.0,2.89889
191,2020-11-01T22:00:00,204.0,2.32945
191,2020-11-02T07:00:00,159.0,1.81945
191,2020-11-02T02:00:00,26.0,0.4961100000000001
191,2020-11-01T23:00:00,160.0,1.85556
191,2020-12-01T20:00:00,633.0,6.06944
191,2020-08-05T02:00:00,173.0,2.13278
191,2020-08-05T10:00:00,462.0,4.4488900000000005
191,2020-08-05T04:00:00,49.0,0.54667
191,2020-08-05T07:00:00,153.0,1.7533299999999998
191,2020-07-01T21:00:00,756.0,8.19111
191,2020-11-01T12:00:00,160.0,2.06889
191,2020-12-01T04:00:00,22.0,0.40722
191,2020-11-02T08:00:00,376.0,4.74611
191,2020-10-01T06:00:00,100.0,1.26111
191,2020-11-01T20:00:00,294.0,3.26945
191,2020-12-01T19:00:00,649.0,6.911110000000001
191,2020-11-01T09:00:00,68.0,1.015
191,2020-10-01T17:00:00,872.0,26.80222
191,2020-10-01T22:00:00,552.0,6.2877800000000015
191,2020-07-01T18:00:00,741.0,9.15667
191,2020-10-01T14:00:00,851.0,29.92833
191,2020-10-01T10:00:00,797.0,14.16167
191,2020-10-01T12:00:00,850.0,18.96111
191,2020-07-01T11:00:00,659.0,7.595
191,2020-09-22T23:00:00,523.0,4.39611
191,2020-09-22T22:00:00,502.0,6.1177800000000016
